country,year,emissions,v2x_libdem,v2pstpar_ord,v2x_regime,region,gdp_pc,regime
Algeria,1991,79000,0.141,Unified party control,Closed Autocracy,Africa,1731.6214,Closed Autocracy
Algeria,1992,80100,0.083,Unified party control,Closed Autocracy,Africa,1776.0283,Closed Autocracy
Algeria,1993,82200,0.083,Unified party control,Closed Autocracy,Africa,1807.2975,Closed Autocracy
Algeria,1994,86400,0.097,Unified party control,Closed Autocracy,Africa,1507.8867,Closed Autocracy
Algeria,1995,95300,0.116,Unified party control,Electoral Autocracy,Africa,1452.2784,Electoral Autocracy
Algeria,1996,97100,0.158,Unified party control,Electoral Autocracy,Africa,1603.9403,Electoral Autocracy
Algeria,1997,87300,0.154,Unified party control,Electoral Autocracy,Africa,1619.7977,Electoral Autocracy
Algeria,1998,107000,0.151,Unified party control,Electoral Autocracy,Africa,1596.0039,Electoral Autocracy
Algeria,1999,92000,0.156,Unified party control,Electoral Autocracy,Africa,1588.3489,Electoral Autocracy
Algeria,2000,87900,0.156,Unified party control,Electoral Autocracy,Africa,1765.0267,Electoral Autocracy
Algeria,2001,84200,0.156,Unified party control,Electoral Autocracy,Africa,1740.6071,Electoral Autocracy
Algeria,2002,89900,0.158,Unified party control,Electoral Autocracy,Africa,1781.8277,Electoral Autocracy
Algeria,2003,91600,0.159,Unified party control,Electoral Autocracy,Africa,2103.3817,Electoral Autocracy
Algeria,2004,88500,0.160,Unified party control,Electoral Autocracy,Africa,2610.1854,Electoral Autocracy
Algeria,2005,107000,0.163,Unified party control,Electoral Autocracy,Africa,3113.0957,Electoral Autocracy
Algeria,2006,101000,0.163,Unified party control,Electoral Autocracy,Africa,3478.7104,Electoral Autocracy
Algeria,2007,109000,0.161,Unified party control,Electoral Autocracy,Africa,3950.5143,Electoral Autocracy
Algeria,2008,110000,0.159,Unified party control,Electoral Autocracy,Africa,4923.6303,Electoral Autocracy
Algeria,2009,121000,0.158,Unified party control,Electoral Autocracy,Africa,3883.2713,Electoral Autocracy
Algeria,2010,119000,0.159,Unified party control,Electoral Autocracy,Africa,4480.7874,Electoral Autocracy
Algeria,2011,121000,0.160,Unified party control,Electoral Autocracy,Africa,5455.6790,Electoral Autocracy
Algeria,2012,130000,0.163,Unified party control,Electoral Autocracy,Africa,5592.2201,Electoral Autocracy
Algeria,2013,134000,0.166,Unified party control,Electoral Autocracy,Africa,5499.5873,Electoral Autocracy
Algeria,2014,145000,0.165,Unified party control,Electoral Autocracy,Africa,5493.0567,Electoral Autocracy
Andorra,1991,407,,,,,19534.2636,
Andorra,1992,407,,,,,20549.8056,
Andorra,1993,411,,,,,16515.6584,
Andorra,1994,407,,,,,16235.0680,
Andorra,1995,425,,,,,18458.1740,
Andorra,1996,455,,,,,19016.2882,
Andorra,1997,466,,,,,18355.6279,
Andorra,1998,491,,,,,18895.1107,
Andorra,1999,513,,,,,19262.3090,
Andorra,2000,524,,,,,21854.2468,
Andorra,2001,524,,,,,22970.5122,
Andorra,2002,532,,,,,25067.2401,
Andorra,2003,535,,,,,32272.8459,
Andorra,2004,561,,,,,37966.1873,
Andorra,2005,576,,,,,40064.2249,
Andorra,2006,546,,,,,42674.7590,
Andorra,2007,539,,,,,47804.8499,
Andorra,2008,539,,,,,48719.6588,
Andorra,2009,517,,,,,43504.2157,
Andorra,2010,517,,,,,40850.2481,
Andorra,2011,491,,,,,43334.8114,
Andorra,2012,488,,,,,38686.4613,
Andorra,2013,477,,,,,39540.7248,
Andorra,2014,462,,,,,41303.9294,
Angola,1991,5090,0.067,Unified party control,Closed Autocracy,Africa,,Closed Autocracy
Angola,1992,5200,0.075,Unified party control,Electoral Autocracy,Africa,,Electoral Autocracy
Angola,1993,5780,0.088,Unified party control,Closed Autocracy,Africa,,Closed Autocracy
Angola,1994,3890,0.088,Unified party control,Closed Autocracy,Africa,251.0783,Closed Autocracy
Angola,1995,11000,0.090,Unified party control,Closed Autocracy,Africa,398.7910,Closed Autocracy
Angola,1996,10500,0.090,Unified party control,Closed Autocracy,Africa,522.6796,Closed Autocracy
Angola,1997,7380,0.090,Unified party control,Closed Autocracy,Africa,514.3852,Closed Autocracy
Angola,1998,7310,0.090,Unified party control,Closed Autocracy,Africa,423.6190,Closed Autocracy
Angola,1999,9160,0.090,Unified party control,Closed Autocracy,Africa,387.7851,Closed Autocracy
Angola,2000,9540,0.090,Unified party control,Closed Autocracy,Africa,556.8386,Closed Autocracy
Angola,2001,9730,0.093,Unified party control,Closed Autocracy,Africa,527.3335,Closed Autocracy
Angola,2002,12700,0.101,Unified party control,Closed Autocracy,Africa,872.4944,Closed Autocracy
Angola,2003,9060,0.106,Unified party control,Closed Autocracy,Africa,982.9610,Closed Autocracy
Angola,2004,18800,0.107,Unified party control,Closed Autocracy,Africa,1255.5645,Closed Autocracy
Angola,2005,19200,0.108,Unified party control,Closed Autocracy,Africa,1902.4222,Closed Autocracy
Angola,2006,22300,0.108,Unified party control,Closed Autocracy,Africa,2599.5659,Closed Autocracy
Angola,2007,25200,0.109,Unified party control,Closed Autocracy,Africa,3121.9961,Closed Autocracy
Angola,2008,25700,0.128,Unified party control,Closed Autocracy,Africa,4080.9410,Closed Autocracy
Angola,2009,27800,0.135,Unified party control,Closed Autocracy,Africa,3122.7816,Closed Autocracy
Angola,2010,29100,0.165,Unified party control,Electoral Autocracy,Africa,3587.8836,Electoral Autocracy
Angola,2011,30300,0.164,Unified party control,Electoral Autocracy,Africa,4615.4682,Electoral Autocracy
Angola,2012,33400,0.164,Unified party control,Electoral Autocracy,Africa,5100.0970,Electoral Autocracy
Angola,2013,32600,0.163,Unified party control,Electoral Autocracy,Africa,5254.8811,Electoral Autocracy
Angola,2014,34800,0.163,Unified party control,Electoral Autocracy,Africa,5408.4117,Electoral Autocracy
Antigua and Barbuda,1991,268,,,,,7602.3453,
Antigua and Barbuda,1992,264,,,,,7745.7218,
Antigua and Barbuda,1993,271,,,,,8136.1885,
Antigua and Barbuda,1994,268,,,,,8771.1437,
Antigua and Barbuda,1995,275,,,,,8406.3589,
Antigua and Barbuda,1996,293,,,,,9030.5750,
Antigua and Barbuda,1997,308,,,,,9491.6608,
Antigua and Barbuda,1998,319,,,,,9940.8522,
Antigua and Barbuda,1999,330,,,,,10260.5994,
Antigua and Barbuda,2000,345,,,,,10872.2930,
Antigua and Barbuda,2001,348,,,,,10367.3196,
Antigua and Barbuda,2002,370,,,,,10401.0509,
Antigua and Barbuda,2003,403,,,,,10797.9511,
Antigua and Barbuda,2004,422,,,,,11446.9691,
Antigua and Barbuda,2005,429,,,,,12557.5479,
Antigua and Barbuda,2006,444,,,,,13995.8044,
Antigua and Barbuda,2007,469,,,,,15622.6929,
Antigua and Barbuda,2008,480,,,,,16044.1058,
Antigua and Barbuda,2009,510,,,,,14160.5620,
Antigua and Barbuda,2010,524,,,,,13048.9606,
Antigua and Barbuda,2011,513,,,,,12746.6335,
Antigua and Barbuda,2012,524,,,,,13272.7349,
Antigua and Barbuda,2013,524,,,,,12910.5906,
Antigua and Barbuda,2014,532,,,,,13501.5809,
Argenti,1991,117000,0.620,Unified party control,Electoral Democracy,Americas,5735.3600,Electoral Democracy
Argenti,1992,121000,0.622,Divided party control,Electoral Democracy,Americas,6823.5388,Electoral Democracy
Argenti,1993,118000,0.623,Divided party control,Electoral Democracy,Americas,6969.1197,Electoral Democracy
Argenti,1994,122000,0.628,Divided party control,Electoral Democracy,Americas,7483.1403,Electoral Democracy
Argenti,1995,128000,0.630,Divided party control,Electoral Democracy,Americas,7408.7087,Electoral Democracy
Argenti,1996,135000,0.619,Unified coalition control,Electoral Democracy,Americas,7721.3541,Electoral Democracy
Argenti,1997,138000,0.619,Divided party control,Electoral Democracy,Americas,8213.1251,Electoral Democracy
Argenti,1998,140000,0.625,Unified party control,Electoral Democracy,Americas,8289.5076,Electoral Democracy
Argenti,1999,147000,0.624,Unified party control,Electoral Democracy,Americas,7774.7362,Electoral Democracy
Argenti,2000,142000,0.657,Unified party control,Electoral Democracy,Americas,7708.0991,Electoral Democracy
Argenti,2001,134000,0.669,Unified party control,Electoral Democracy,Americas,7208.3731,Electoral Democracy
Argenti,2002,125000,0.663,Unified party control,Electoral Democracy,Americas,2593.4046,Electoral Democracy
Argenti,2003,135000,0.648,Divided party control,Electoral Democracy,Americas,3349.8063,Electoral Democracy
Argenti,2004,158000,0.649,Unified coalition control,Electoral Democracy,Americas,4277.7216,Electoral Democracy
Argenti,2005,162000,0.641,Unified coalition control,Electoral Democracy,Americas,5109.8522,Electoral Democracy
Argenti,2006,175000,0.624,Unified coalition control,Electoral Democracy,Americas,5919.0123,Electoral Democracy
Argenti,2007,175000,0.621,Unified coalition control,Electoral Democracy,Americas,7245.4469,Electoral Democracy
Argenti,2008,189000,0.606,Unified coalition control,Electoral Democracy,Americas,9020.8733,Electoral Democracy
Argenti,2009,180000,0.602,Divided party control,Electoral Democracy,Americas,8225.1376,Electoral Democracy
Argenti,2010,188000,0.599,Divided party control,Electoral Democracy,Americas,10385.9644,Electoral Democracy
Argenti,2011,192000,0.594,Divided party control,Electoral Democracy,Americas,12848.8642,Electoral Democracy
Argenti,2012,192000,0.591,Unified coalition control,Electoral Democracy,Americas,13082.6643,Electoral Democracy
Argenti,2013,190000,0.590,Unified coalition control,Electoral Democracy,Americas,13080.2547,Electoral Democracy
Argenti,2014,204000,0.607,Divided party control,Electoral Democracy,Americas,12334.7983,Electoral Democracy
Armenia,1991,6380,0.356,Divided party control,Electoral Democracy,Europe,590.5059,Electoral Democracy
Armenia,1992,5830,0.347,Divided party control,Electoral Democracy,Europe,369.7072,Electoral Democracy
Armenia,1993,2560,0.336,Divided party control,Electoral Democracy,Europe,357.2028,Electoral Democracy
Armenia,1994,2710,0.322,Divided party control,Electoral Democracy,Europe,400.5156,Electoral Democracy
Armenia,1995,3410,0.276,Unified coalition control,Electoral Autocracy,Europe,456.3749,Electoral Autocracy
Armenia,1996,2560,0.234,Unified coalition control,Electoral Autocracy,Europe,504.0598,Electoral Autocracy
Armenia,1997,3230,0.224,Unified coalition control,Electoral Autocracy,Europe,523.2844,Electoral Autocracy
Armenia,1998,3360,0.213,Unified coalition control,Electoral Autocracy,Europe,609.1717,Electoral Autocracy
Armenia,1999,3010,0.211,Unified coalition control,Electoral Autocracy,Europe,597.4329,Electoral Autocracy
Armenia,2000,3470,0.210,Unified coalition control,Electoral Autocracy,Europe,622.7409,Electoral Autocracy
Armenia,2001,3540,0.216,Unified coalition control,Electoral Autocracy,Europe,694.4235,Electoral Autocracy
Armenia,2002,3040,0.211,Unified coalition control,Electoral Autocracy,Europe,783.2412,Electoral Autocracy
Armenia,2003,3430,0.195,Divided party control,Electoral Autocracy,Europe,930.1255,Electoral Autocracy
Armenia,2004,3640,0.189,Divided party control,Electoral Autocracy,Europe,1191.9210,Electoral Autocracy
Armenia,2005,4350,0.192,Divided party control,Electoral Autocracy,Europe,1643.7569,Electoral Autocracy
Armenia,2006,4380,0.191,Divided party control,Electoral Autocracy,Europe,2158.1481,Electoral Autocracy
Armenia,2007,5060,0.192,Divided party control,Electoral Autocracy,Europe,3139.2807,Electoral Autocracy
Armenia,2008,5560,0.176,Divided party control,Electoral Autocracy,Europe,4010.8614,Electoral Autocracy
Armenia,2009,4360,0.182,Divided party control,Electoral Autocracy,Europe,2994.3405,Electoral Autocracy
Armenia,2010,4220,0.191,Divided party control,Electoral Autocracy,Europe,3218.3783,Electoral Autocracy
Armenia,2011,4920,0.193,Divided party control,Electoral Autocracy,Europe,3525.8072,Electoral Autocracy
Armenia,2012,5690,0.207,Unified party control,Electoral Autocracy,Europe,3681.8447,Electoral Autocracy
Armenia,2013,5500,0.212,Unified party control,Electoral Autocracy,Europe,3838.1739,Electoral Autocracy
Armenia,2014,5530,0.208,Unified party control,Electoral Autocracy,Europe,3986.2316,Electoral Autocracy
Australia,1991,261000,0.848,Unified party control,Liberal Democracy,Western Pacific,18821.7953,Liberal Democracy
Australia,1992,268000,0.848,Unified party control,Liberal Democracy,Western Pacific,18570.1205,Liberal Democracy
Australia,1993,277000,0.848,Unified party control,Liberal Democracy,Western Pacific,17634.5348,Liberal Democracy
Australia,1994,278000,0.848,Unified party control,Liberal Democracy,Western Pacific,18046.1365,Liberal Democracy
Australia,1995,282000,0.848,Unified party control,Liberal Democracy,Western Pacific,20319.6306,Liberal Democracy
Australia,1996,302000,0.848,Unified party control,Liberal Democracy,Western Pacific,21861.3255,Liberal Democracy
Australia,1997,306000,0.842,Unified party control,Liberal Democracy,Western Pacific,23468.5968,Liberal Democracy
Australia,1998,317000,0.842,Unified party control,Liberal Democracy,Western Pacific,21318.9642,Liberal Democracy
Australia,1999,325000,0.839,Unified party control,Liberal Democracy,Western Pacific,20533.0351,Liberal Democracy
Australia,2000,329000,0.844,Unified party control,Liberal Democracy,Western Pacific,21679.2478,Liberal Democracy
Australia,2001,325000,0.843,Unified party control,Liberal Democracy,Western Pacific,19490.8611,Liberal Democracy
Australia,2002,341000,0.832,Unified party control,Liberal Democracy,Western Pacific,20082.4833,Liberal Democracy
Australia,2003,336000,0.832,Unified party control,Liberal Democracy,Western Pacific,23447.0310,Liberal Democracy
Australia,2004,343000,0.833,Unified party control,Liberal Democracy,Western Pacific,30430.6764,Liberal Democracy
Australia,2005,350000,0.834,Unified party control,Liberal Democracy,Western Pacific,33999.2429,Liberal Democracy
Australia,2006,365000,0.834,Unified party control,Liberal Democracy,Western Pacific,36044.9228,Liberal Democracy
Australia,2007,372000,0.835,Unified party control,Liberal Democracy,Western Pacific,40960.0545,Liberal Democracy
Australia,2008,386000,0.843,Unified party control,Liberal Democracy,Western Pacific,49601.6567,Liberal Democracy
Australia,2009,395000,0.843,Unified party control,Liberal Democracy,Western Pacific,42772.3592,Liberal Democracy
Australia,2010,391000,0.848,Unified party control,Liberal Democracy,Western Pacific,52022.1256,Liberal Democracy
Australia,2011,392000,0.855,Unified party control,Liberal Democracy,Western Pacific,62517.8338,Liberal Democracy
Australia,2012,388000,0.856,Unified party control,Liberal Democracy,Western Pacific,68012.1479,Liberal Democracy
Australia,2013,372000,0.838,Unified party control,Liberal Democracy,Western Pacific,68150.1070,Liberal Democracy
Australia,2014,361000,0.820,Unified party control,Liberal Democracy,Western Pacific,62510.7912,Liberal Democracy
Austria,1991,61600,0.784,Unified coalition control,Liberal Democracy,Europe,22410.9118,Liberal Democracy
Austria,1992,56700,0.784,Unified coalition control,Liberal Democracy,Europe,24880.1641,Liberal Democracy
Austria,1993,57100,0.784,Unified coalition control,Liberal Democracy,Europe,24081.5278,Liberal Democracy
Austria,1994,57100,0.784,Unified coalition control,Liberal Democracy,Europe,25646.7007,Liberal Democracy
Austria,1995,59800,0.780,Unified coalition control,Liberal Democracy,Europe,30325.8496,Liberal Democracy
Austria,1996,63200,0.782,Unified coalition control,Liberal Democracy,Europe,29809.0768,Liberal Democracy
Austria,1997,62700,0.782,Unified coalition control,Liberal Democracy,Europe,26705.4786,Liberal Democracy
Austria,1998,63700,0.784,Unified coalition control,Liberal Democracy,Europe,27361.8751,Liberal Democracy
Austria,1999,61900,0.784,Unified coalition control,Liberal Democracy,Europe,27174.2972,Liberal Democracy
Austria,2000,62300,0.787,Unified coalition control,Liberal Democracy,Europe,24564.4583,Liberal Democracy
Austria,2001,65900,0.787,Unified coalition control,Liberal Democracy,Europe,24537.5143,Liberal Democracy
Austria,2002,67100,0.787,Unified coalition control,Liberal Democracy,Europe,26401.7455,Liberal Democracy
Austria,2003,72200,0.786,Unified coalition control,Liberal Democracy,Europe,32222.8972,Liberal Democracy
Austria,2004,72400,0.786,Unified coalition control,Liberal Democracy,Europe,36821.5215,Liberal Democracy
Austria,2005,74200,0.787,Unified coalition control,Liberal Democracy,Europe,38403.1339,Liberal Democracy
Austria,2006,72200,0.790,Unified coalition control,Liberal Democracy,Europe,40635.2818,Liberal Democracy
Austria,2007,69700,0.801,Unified coalition control,Liberal Democracy,Europe,46855.7718,Liberal Democracy
Austria,2008,69000,0.801,Unified coalition control,Liberal Democracy,Europe,51708.7658,Liberal Democracy
Austria,2009,62700,0.801,Unified coalition control,Liberal Democracy,Europe,47963.1794,Liberal Democracy
Austria,2010,67500,0.799,Unified coalition control,Liberal Democracy,Europe,46858.0433,Liberal Democracy
Austria,2011,65000,0.800,Unified coalition control,Liberal Democracy,Europe,51374.9584,Liberal Democracy
Austria,2012,62300,0.804,Unified coalition control,Liberal Democracy,Europe,48567.6953,Liberal Democracy
Austria,2013,62500,0.802,Unified coalition control,Liberal Democracy,Europe,50716.7087,Liberal Democracy
Austria,2014,58700,0.800,Unified coalition control,Liberal Democracy,Europe,51717.4959,Liberal Democracy
Azerbaijan,1991,61600,0.111,Unified coalition control,Electoral Autocracy,Europe,,Electoral Autocracy
Azerbaijan,1992,56200,0.206,Unified coalition control,Electoral Autocracy,Europe,60.4586,Electoral Autocracy
Azerbaijan,1993,48500,0.178,Divided party control,Electoral Autocracy,Europe,209.4730,Electoral Autocracy
Azerbaijan,1994,42000,0.076,Unified coalition control,Electoral Autocracy,Europe,157.0768,Electoral Autocracy
Azerbaijan,1995,33300,0.086,Unified coalition control,Electoral Autocracy,Europe,314.5551,Electoral Autocracy
Azerbaijan,1996,31300,0.085,Unified coalition control,Electoral Autocracy,Europe,409.1632,Electoral Autocracy
Azerbaijan,1997,29800,0.086,Unified coalition control,Electoral Autocracy,Europe,505.5003,Electoral Autocracy
Azerbaijan,1998,31700,0.084,Unified coalition control,Electoral Autocracy,Europe,561.9068,Electoral Autocracy
Azerbaijan,1999,28600,0.081,Unified coalition control,Electoral Autocracy,Europe,573.9165,Electoral Autocracy
Azerbaijan,2000,29500,0.083,Unified party control,Electoral Autocracy,Europe,655.1199,Electoral Autocracy
Azerbaijan,2001,28800,0.082,Unified party control,Electoral Autocracy,Europe,703.6838,Electoral Autocracy
Azerbaijan,2002,29600,0.081,Unified party control,Electoral Autocracy,Europe,763.0806,Electoral Autocracy
Azerbaijan,2003,30600,0.076,Unified party control,Electoral Autocracy,Europe,883.7340,Electoral Autocracy
Azerbaijan,2004,32100,0.073,Unified party control,Electoral Autocracy,Europe,1045.0094,Electoral Autocracy
Azerbaijan,2005,34300,0.070,Unified party control,Electoral Autocracy,Europe,1578.4024,Electoral Autocracy
Azerbaijan,2006,39200,0.071,Unified party control,Electoral Autocracy,Europe,2473.0818,Electoral Autocracy
Azerbaijan,2007,30500,0.071,Unified party control,Electoral Autocracy,Europe,3851.4379,Electoral Autocracy
Azerbaijan,2008,35500,0.071,Unified party control,Electoral Autocracy,Europe,5574.6038,Electoral Autocracy
Azerbaijan,2009,31900,0.071,Unified party control,Electoral Autocracy,Europe,4950.2948,Electoral Autocracy
Azerbaijan,2010,30700,0.071,Unified party control,Electoral Autocracy,Europe,5843.5338,Electoral Autocracy
Azerbaijan,2011,33400,0.069,Unified party control,Electoral Autocracy,Europe,7189.6912,Electoral Autocracy
Azerbaijan,2012,35600,0.068,Unified party control,Electoral Autocracy,Europe,7496.2946,Electoral Autocracy
Azerbaijan,2013,35600,0.067,Unified party control,Electoral Autocracy,Europe,7875.7570,Electoral Autocracy
Azerbaijan,2014,37500,0.064,Unified party control,Electoral Autocracy,Europe,7891.3131,Electoral Autocracy
Bahamas,1991,1780,,,,,,
Bahamas,1992,1790,,,,,,
Bahamas,1993,1700,,,,,,
Bahamas,1994,1690,,,,,,
Bahamas,1995,1680,,,,,,
Bahamas,1996,1670,,,,,,
Bahamas,1997,1360,,,,,,
Bahamas,1998,1680,,,,,,
Bahamas,1999,1680,,,,,,
Bahamas,2000,1670,,,,,,
Bahamas,2001,1570,,,,,,
Bahamas,2002,1580,,,,,,
Bahamas,2003,1520,,,,,,
Bahamas,2004,1720,,,,,,
Bahamas,2005,1740,,,,,,
Bahamas,2006,1660,,,,,,
Bahamas,2007,1690,,,,,,
Bahamas,2008,1500,,,,,,
Bahamas,2009,1640,,,,,,
Bahamas,2010,1650,,,,,,
Bahamas,2011,1870,,,,,,
Bahamas,2012,1970,,,,,,
Bahamas,2013,2800,,,,,,
Bahamas,2014,2420,,,,,,
Bahrain,1991,11900,,Divided party control,Closed Autocracy,Eastern Mediterranean,9055.6444,Closed Autocracy
Bahrain,1992,10900,,Divided party control,Closed Autocracy,Eastern Mediterranean,9082.8280,Closed Autocracy
Bahrain,1993,14600,,Divided party control,Closed Autocracy,Eastern Mediterranean,9698.1529,Closed Autocracy
Bahrain,1994,14800,,Divided party control,Closed Autocracy,Eastern Mediterranean,10130.3762,Closed Autocracy
Bahrain,1995,14800,,Divided party control,Closed Autocracy,Eastern Mediterranean,10376.9533,Closed Autocracy
Bahrain,1996,15600,,Divided party control,Closed Autocracy,Eastern Mediterranean,10544.7947,Closed Autocracy
Bahrain,1997,17300,,Divided party control,Closed Autocracy,Eastern Mediterranean,10672.2378,Closed Autocracy
Bahrain,1998,18400,,Divided party control,Closed Autocracy,Eastern Mediterranean,10076.2699,Closed Autocracy
Bahrain,1999,18000,,Divided party control,Closed Autocracy,Eastern Mediterranean,10401.5622,Closed Autocracy
Bahrain,2000,18600,,Divided party control,Closed Autocracy,Eastern Mediterranean,13636.4168,Closed Autocracy
Bahrain,2001,13900,,Divided party control,Closed Autocracy,Eastern Mediterranean,12868.1769,Closed Autocracy
Bahrain,2002,15700,0.068,Divided party control,Closed Autocracy,Eastern Mediterranean,13049.9097,Closed Autocracy
Bahrain,2003,16500,0.082,Divided party control,Closed Autocracy,Eastern Mediterranean,14222.0368,Closed Autocracy
Bahrain,2004,17500,0.077,Divided party control,Closed Autocracy,Eastern Mediterranean,15846.5060,Closed Autocracy
Bahrain,2005,19200,0.080,Divided party control,Closed Autocracy,Eastern Mediterranean,17959.3968,Closed Autocracy
Bahrain,2006,18800,0.088,Divided party control,Closed Autocracy,Eastern Mediterranean,19307.5089,Closed Autocracy
Bahrain,2007,26800,0.088,Divided party control,Closed Autocracy,Eastern Mediterranean,20976.4423,Closed Autocracy
Bahrain,2008,29800,0.088,Divided party control,Closed Autocracy,Eastern Mediterranean,23066.4510,Closed Autocracy
Bahrain,2009,28200,0.087,Divided party control,Closed Autocracy,Eastern Mediterranean,19355.9210,Closed Autocracy
Bahrain,2010,29300,0.084,Divided party control,Closed Autocracy,Eastern Mediterranean,20722.0705,Closed Autocracy
Bahrain,2011,28700,0.050,Divided party control,Closed Autocracy,Eastern Mediterranean,22514.2027,Closed Autocracy
Bahrain,2012,26700,0.043,Divided party control,Closed Autocracy,Eastern Mediterranean,23654.3696,Closed Autocracy
Bahrain,2013,31300,0.044,Divided party control,Closed Autocracy,Eastern Mediterranean,24744.2970,Closed Autocracy
