country,year,emissions,v2x_libdem,v2psnatpar_ord,v2x_regime,region
Afghanistan,1989,2780,0.048,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1990,2610,0.046,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1991,2440,0.042,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1992,1390,0.032,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1993,1350,0.024,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1994,1290,0.024,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1995,1240,0.023,Unified coalition control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1996,1180,0.022,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1997,1100,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1998,1040,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,1999,821,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,2000,774,0.026,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,2001,818,0.03,Divided party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,2002,1070,0.095,Unified party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,2003,1200,0.096,Unified party control,Closed Autocracy,Eastern Mediterranean
Afghanistan,2004,950,0.105,Unified party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2005,1330,0.13,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2006,1650,0.225,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2007,2270,0.227,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2008,4210,0.228,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2009,6770,0.226,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2010,8460,0.222,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2011,12200,0.223,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2012,10800,0.224,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2013,10000,0.221,Divided party control,Electoral Autocracy,Eastern Mediterranean
Afghanistan,2014,9810,0.224,Divided party control,Electoral Autocracy,Eastern Mediterranean
Albania,1940,693,0.059,Divided party control,Closed Autocracy,Europe
Albania,1941,627,0.059,Divided party control,Closed Autocracy,Europe
Albania,1942,744,0.059,Divided party control,Closed Autocracy,Europe
Albania,1943,462,0.051,Divided party control,Closed Autocracy,Europe
Albania,1944,154,0.054,Divided party control,Closed Autocracy,Europe
Albania,1945,121,0.032,Divided party control,Closed Autocracy,Europe
Albania,1946,484,0.047,Divided party control,Electoral Autocracy,Europe
Albania,1947,928,0.055,Divided party control,Electoral Autocracy,Europe
Albania,1948,704,0.055,Divided party control,Electoral Autocracy,Europe
Albania,1949,1020,0.056,Divided party control,Closed Autocracy,Europe
Albania,1950,297,0.057,Divided party control,Closed Autocracy,Europe
Albania,1951,403,0.057,Divided party control,Closed Autocracy,Europe
Albania,1952,374,0.057,Divided party control,Closed Autocracy,Europe
Albania,1953,414,0.057,Divided party control,Closed Autocracy,Europe
Albania,1954,502,0.057,Divided party control,Closed Autocracy,Europe
Albania,1955,664,0.058,Divided party control,Closed Autocracy,Europe
Albania,1956,840,0.058,Divided party control,Closed Autocracy,Europe
Albania,1957,1510,0.058,Divided party control,Closed Autocracy,Europe
Albania,1958,1200,0.057,Divided party control,Closed Autocracy,Europe
Albania,1959,1440,0.057,Divided party control,Closed Autocracy,Europe
Albania,1960,2020,0.057,Divided party control,Closed Autocracy,Europe
Albania,1961,2280,0.057,Divided party control,Closed Autocracy,Europe
Albania,1962,2460,0.057,Divided party control,Closed Autocracy,Europe
Albania,1963,2080,0.058,Divided party control,Closed Autocracy,Europe
Albania,1964,2020,0.058,Divided party control,Closed Autocracy,Europe
Albania,1965,2170,0.058,Divided party control,Closed Autocracy,Europe
Albania,1966,2550,0.058,Divided party control,Closed Autocracy,Europe
Albania,1967,2680,0.057,Divided party control,Closed Autocracy,Europe
Albania,1968,3070,0.057,Divided party control,Closed Autocracy,Europe
Albania,1969,3250,0.057,Divided party control,Closed Autocracy,Europe
Albania,1970,3740,0.057,Divided party control,Closed Autocracy,Europe
Albania,1971,4350,0.057,Divided party control,Closed Autocracy,Europe
Albania,1972,5640,0.057,Divided party control,Closed Autocracy,Europe
Albania,1973,5290,0.057,Divided party control,Closed Autocracy,Europe
Albania,1974,4350,0.057,Divided party control,Closed Autocracy,Europe
Albania,1975,4590,0.057,Divided party control,Closed Autocracy,Europe
Albania,1976,4950,0.057,Divided party control,Closed Autocracy,Europe
Albania,1977,5720,0.057,Divided party control,Closed Autocracy,Europe
Albania,1978,6490,0.057,Divided party control,Closed Autocracy,Europe
Albania,1979,7590,0.057,Divided party control,Closed Autocracy,Europe
Albania,1980,5170,0.057,Divided party control,Closed Autocracy,Europe
Albania,1981,7340,0.057,Divided party control,Closed Autocracy,Europe
Albania,1982,7310,0.057,Divided party control,Closed Autocracy,Europe
Albania,1983,7630,0.057,Divided party control,Closed Autocracy,Europe
Albania,1984,7830,0.057,Divided party control,Closed Autocracy,Europe
Albania,1985,7880,0.057,Divided party control,Closed Autocracy,Europe
Albania,1986,8060,0.059,Divided party control,Closed Autocracy,Europe
Albania,1987,7440,0.059,Divided party control,Closed Autocracy,Europe
Albania,1988,7330,0.059,Divided party control,Closed Autocracy,Europe
Albania,1989,8980,0.059,Divided party control,Closed Autocracy,Europe
Albania,1990,5520,0.073,Unified coalition control,Closed Autocracy,Europe
Albania,1991,4290,0.252,Unified coalition control,Electoral Autocracy,Europe
Albania,1992,2520,0.322,Unified coalition control,Electoral Autocracy,Europe
Albania,1993,2340,0.322,Divided party control,Electoral Autocracy,Europe
Albania,1994,1930,0.34,Divided party control,Electoral Autocracy,Europe
Albania,1995,2090,0.352,Divided party control,Electoral Autocracy,Europe
Albania,1996,2020,0.326,Divided party control,Electoral Autocracy,Europe
Albania,1997,1540,0.311,Divided party control,Electoral Autocracy,Europe
Albania,1998,1750,0.331,Divided party control,Electoral Autocracy,Europe
Albania,1999,2980,0.335,Divided party control,Electoral Autocracy,Europe
Albania,2000,3020,0.347,Unified party control,Electoral Autocracy,Europe
Albania,2001,3220,0.37,Unified party control,Electoral Autocracy,Europe
Albania,2002,3750,0.401,Unified party control,Electoral Autocracy,Europe
Albania,2003,4290,0.403,Unified party control,Electoral Autocracy,Europe
Albania,2004,4170,0.406,Unified party control,Electoral Autocracy,Europe
Albania,2005,4250,0.42,Divided party control,Electoral Democracy,Europe
Albania,2006,3900,0.437,Unified party control,Electoral Democracy,Europe
Albania,2007,3930,0.44,Unified party control,Electoral Democracy,Europe
Albania,2008,4370,0.442,Unified party control,Electoral Democracy,Europe
Albania,2009,4380,0.446,Unified party control,Electoral Democracy,Europe
Albania,2010,4600,0.444,Unified party control,Electoral Democracy,Europe
Albania,2011,5240,0.444,Unified party control,Electoral Democracy,Europe
Albania,2012,4910,0.441,Unified party control,Electoral Democracy,Europe
Albania,2013,5060,0.421,Unified party control,Electoral Democracy,Europe
Albania,2014,5720,0.431,Unified party control,Electoral Democracy,Europe
Algeria,1940,238,0.088,Unified party control,Closed Autocracy,Africa
Algeria,1941,312,0.088,Unified party control,Closed Autocracy,Africa
Algeria,1942,499,0.088,Unified party control,Closed Autocracy,Africa
Algeria,1943,469,0.088,Unified party control,Closed Autocracy,Africa
Algeria,1944,499,0.088,Unified party control,Closed Autocracy,Africa
Algeria,1945,616,0.089,Unified party control,Closed Autocracy,Africa
Algeria,1946,763,0.091,Unified party control,Closed Autocracy,Africa
Algeria,1947,744,0.091,Unified party control,Closed Autocracy,Africa
Algeria,1948,803,0.094,Unified party control,Closed Autocracy,Africa
Algeria,1949,909,0.095,Unified party control,Closed Autocracy,Africa
Algeria,1950,3790,0.095,Unified party control,Closed Autocracy,Africa
Algeria,1951,4140,0.095,Unified party control,Closed Autocracy,Africa
Algeria,1952,3890,0.096,Unified party control,Closed Autocracy,Africa
Algeria,1953,4000,0.092,Unified party control,Closed Autocracy,Africa
Algeria,1954,4160,0.091,Unified party control,Closed Autocracy,Africa
Algeria,1955,4610,0.093,Unified party control,Closed Autocracy,Africa
Algeria,1956,5000,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1957,5540,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1958,5220,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1959,5670,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1960,6160,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1961,6070,0.038,Unified party control,Closed Autocracy,Africa
Algeria,1962,5670,0.044,Unified party control,Electoral Autocracy,Africa
Algeria,1963,5430,0.08,Unified party control,Electoral Autocracy,Africa
Algeria,1964,5650,0.086,Unified party control,Electoral Autocracy,Africa
Algeria,1965,6600,0.076,Unified party control,Electoral Autocracy,Africa
Algeria,1966,8430,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1967,8440,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1968,9060,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1969,11300,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1970,15100,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1971,18700,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1972,28300,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1973,38300,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1974,31900,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1975,32000,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1976,39200,0.065,Unified party control,Closed Autocracy,Africa
Algeria,1977,41900,0.089,Unified party control,Closed Autocracy,Africa
Algeria,1978,62500,0.091,Unified party control,Closed Autocracy,Africa
Algeria,1979,45600,0.091,Unified party control,Closed Autocracy,Africa
Algeria,1980,66500,0.096,Unified party control,Closed Autocracy,Africa
Algeria,1981,46400,0.096,Unified party control,Closed Autocracy,Africa
Algeria,1982,39300,0.099,Unified party control,Closed Autocracy,Africa
Algeria,1983,52600,0.099,Unified party control,Closed Autocracy,Africa
Algeria,1984,71100,0.1,Unified party control,Closed Autocracy,Africa
Algeria,1985,72800,0.101,Unified party control,Closed Autocracy,Africa
Algeria,1986,76300,0.101,Unified party control,Closed Autocracy,Africa
Algeria,1987,84100,0.101,Unified party control,Closed Autocracy,Africa
Algeria,1988,83900,0.105,Unified party control,Closed Autocracy,Africa
Algeria,1989,80000,0.109,Unified party control,Closed Autocracy,Africa
Algeria,1990,77000,0.146,Unified party control,Closed Autocracy,Africa
Algeria,1991,79000,0.141,Unified party control,Closed Autocracy,Africa
Algeria,1992,80100,0.083,Unified party control,Closed Autocracy,Africa
Algeria,1993,82200,0.083,Unified party control,Closed Autocracy,Africa
Algeria,1994,86400,0.097,Unified party control,Closed Autocracy,Africa
Algeria,1995,95300,0.116,Unified party control,Electoral Autocracy,Africa
Algeria,1996,97100,0.158,Unified party control,Electoral Autocracy,Africa
Algeria,1997,87300,0.154,Unified party control,Electoral Autocracy,Africa
Algeria,1998,107000,0.151,Unified party control,Electoral Autocracy,Africa
Algeria,1999,92000,0.156,Unified party control,Electoral Autocracy,Africa
Algeria,2000,87900,0.156,Unified party control,Electoral Autocracy,Africa
Algeria,2001,84200,0.156,Unified party control,Electoral Autocracy,Africa
Algeria,2002,89900,0.158,Unified party control,Electoral Autocracy,Africa
Algeria,2003,91600,0.159,Unified party control,Electoral Autocracy,Africa
Algeria,2004,88500,0.16,Unified party control,Electoral Autocracy,Africa
Algeria,2005,107000,0.163,Unified party control,Electoral Autocracy,Africa
Algeria,2006,101000,0.163,Unified party control,Electoral Autocracy,Africa
Algeria,2007,109000,0.161,Unified party control,Electoral Autocracy,Africa
Algeria,2008,110000,0.159,Unified party control,Electoral Autocracy,Africa
Algeria,2009,121000,0.158,Unified party control,Electoral Autocracy,Africa
Algeria,2010,119000,0.159,Unified party control,Electoral Autocracy,Africa
Algeria,2011,121000,0.16,Unified party control,Electoral Autocracy,Africa
Algeria,2012,130000,0.163,Unified party control,Electoral Autocracy,Africa
Algeria,2013,134000,0.166,Unified party control,Electoral Autocracy,Africa
Algeria,2014,145000,0.165,Unified party control,Electoral Autocracy,Africa
Andorra,1940,NA,NA,NA,NA,NA
Andorra,1941,NA,NA,NA,NA,NA
Andorra,1942,NA,NA,NA,NA,NA
Andorra,1943,NA,NA,NA,NA,NA
Andorra,1944,NA,NA,NA,NA,NA
Andorra,1945,NA,NA,NA,NA,NA
Andorra,1946,NA,NA,NA,NA,NA
Andorra,1947,NA,NA,NA,NA,NA
Andorra,1948,NA,NA,NA,NA,NA
Andorra,1949,NA,NA,NA,NA,NA
Andorra,1950,NA,NA,NA,NA,NA
Andorra,1951,NA,NA,NA,NA,NA
Andorra,1952,NA,NA,NA,NA,NA
Andorra,1953,NA,NA,NA,NA,NA
Andorra,1954,NA,NA,NA,NA,NA
Andorra,1955,NA,NA,NA,NA,NA
Andorra,1956,NA,NA,NA,NA,NA
Andorra,1957,NA,NA,NA,NA,NA
Andorra,1958,NA,NA,NA,NA,NA
Andorra,1959,NA,NA,NA,NA,NA
Andorra,1960,NA,NA,NA,NA,NA
Andorra,1961,NA,NA,NA,NA,NA
Andorra,1962,NA,NA,NA,NA,NA
Andorra,1963,NA,NA,NA,NA,NA
Andorra,1964,NA,NA,NA,NA,NA
Andorra,1965,NA,NA,NA,NA,NA
Andorra,1966,NA,NA,NA,NA,NA
Andorra,1967,NA,NA,NA,NA,NA
Andorra,1968,NA,NA,NA,NA,NA
Andorra,1969,NA,NA,NA,NA,NA
Andorra,1970,NA,NA,NA,NA,NA
Andorra,1971,NA,NA,NA,NA,NA
Andorra,1972,NA,NA,NA,NA,NA
Andorra,1973,NA,NA,NA,NA,NA
Andorra,1974,NA,NA,NA,NA,NA
Andorra,1975,NA,NA,NA,NA,NA
Andorra,1976,NA,NA,NA,NA,NA
Andorra,1977,NA,NA,NA,NA,NA
Andorra,1978,NA,NA,NA,NA,NA
Andorra,1979,NA,NA,NA,NA,NA
Andorra,1980,NA,NA,NA,NA,NA
Andorra,1981,NA,NA,NA,NA,NA
Andorra,1982,NA,NA,NA,NA,NA
Andorra,1983,NA,NA,NA,NA,NA
Andorra,1984,NA,NA,NA,NA,NA
Andorra,1985,NA,NA,NA,NA,NA
Andorra,1986,NA,NA,NA,NA,NA
Andorra,1987,NA,NA,NA,NA,NA
Andorra,1988,NA,NA,NA,NA,NA
Andorra,1989,NA,NA,NA,NA,NA
Andorra,1990,407,NA,NA,NA,NA
Andorra,1991,407,NA,NA,NA,NA
Andorra,1992,407,NA,NA,NA,NA
Andorra,1993,411,NA,NA,NA,NA
Andorra,1994,407,NA,NA,NA,NA
Andorra,1995,425,NA,NA,NA,NA
Andorra,1996,455,NA,NA,NA,NA
Andorra,1997,466,NA,NA,NA,NA
Andorra,1998,491,NA,NA,NA,NA
Andorra,1999,513,NA,NA,NA,NA
Andorra,2000,524,NA,NA,NA,NA
Andorra,2001,524,NA,NA,NA,NA
Andorra,2002,532,NA,NA,NA,NA
Andorra,2003,535,NA,NA,NA,NA
Andorra,2004,561,NA,NA,NA,NA
Andorra,2005,576,NA,NA,NA,NA
Andorra,2006,546,NA,NA,NA,NA
Andorra,2007,539,NA,NA,NA,NA
Andorra,2008,539,NA,NA,NA,NA
Andorra,2009,517,NA,NA,NA,NA
Andorra,2010,517,NA,NA,NA,NA
Andorra,2011,491,NA,NA,NA,NA
Andorra,2012,488,NA,NA,NA,NA
Andorra,2013,477,NA,NA,NA,NA
Andorra,2014,462,NA,NA,NA,NA
Angola,1940,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1941,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1942,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1943,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1944,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1945,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1946,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1947,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1948,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1949,NA,0.038,Unified party control,Closed Autocracy,Africa
Angola,1950,187,0.038,Unified party control,Closed Autocracy,Africa
Angola,1951,249,0.038,Unified party control,Closed Autocracy,Africa
Angola,1952,312,0.038,Unified party control,Closed Autocracy,Africa
Angola,1953,275,0.038,Unified party control,Closed Autocracy,Africa
Angola,1954,348,0.038,Unified party control,Closed Autocracy,Africa
Angola,1955,414,0.038,Unified party control,Closed Autocracy,Africa
Angola,1956,502,0.038,Unified party control,Closed Autocracy,Africa
Angola,1957,620,0.038,Unified party control,Closed Autocracy,Africa
Angola,1958,594,0.038,Unified party control,Closed Autocracy,Africa
Angola,1959,620,0.038,Unified party control,Closed Autocracy,Africa
Angola,1960,550,0.038,Unified party control,Closed Autocracy,Africa
Angola,1961,455,0.038,Unified party control,Closed Autocracy,Africa
Angola,1962,1180,0.038,Unified party control,Closed Autocracy,Africa
Angola,1963,1150,0.038,Unified party control,Closed Autocracy,Africa
Angola,1964,1220,0.038,Unified party control,Closed Autocracy,Africa
Angola,1965,1190,0.038,Unified party control,Closed Autocracy,Africa
Angola,1966,1550,0.038,Unified party control,Closed Autocracy,Africa
Angola,1967,994,0.038,Unified party control,Closed Autocracy,Africa
Angola,1968,1670,0.038,Unified party control,Closed Autocracy,Africa
Angola,1969,2790,0.039,Unified party control,Closed Autocracy,Africa
Angola,1970,3580,0.039,Unified party control,Closed Autocracy,Africa
Angola,1971,3410,0.039,Unified party control,Closed Autocracy,Africa
Angola,1972,4510,0.039,Unified party control,Closed Autocracy,Africa
Angola,1973,4880,0.045,Unified party control,Closed Autocracy,Africa
Angola,1974,4870,0.049,Unified party control,Closed Autocracy,Africa
Angola,1975,4420,0.054,Unified party control,Closed Autocracy,Africa
Angola,1976,3290,0.057,Unified party control,Closed Autocracy,Africa
Angola,1977,3530,0.057,Unified party control,Closed Autocracy,Africa
Angola,1978,5410,0.057,Unified party control,Closed Autocracy,Africa
Angola,1979,5500,0.057,Unified party control,Closed Autocracy,Africa
Angola,1980,5350,0.057,Unified party control,Closed Autocracy,Africa
Angola,1981,5280,0.057,Unified party control,Closed Autocracy,Africa
Angola,1982,4650,0.057,Unified party control,Closed Autocracy,Africa
Angola,1983,5120,0.057,Unified party control,Closed Autocracy,Africa
Angola,1984,5010,0.057,Unified party control,Closed Autocracy,Africa
Angola,1985,4700,0.057,Unified party control,Closed Autocracy,Africa
Angola,1986,4660,0.057,Unified party control,Closed Autocracy,Africa
Angola,1987,5820,0.057,Unified party control,Closed Autocracy,Africa
Angola,1988,5130,0.057,Unified party control,Closed Autocracy,Africa
Angola,1989,5010,0.057,Unified party control,Closed Autocracy,Africa
Angola,1990,5120,0.062,Unified party control,Closed Autocracy,Africa
Angola,1991,5090,0.067,Unified party control,Closed Autocracy,Africa
Angola,1992,5200,0.075,Unified party control,Electoral Autocracy,Africa
Angola,1993,5780,0.088,Unified party control,Closed Autocracy,Africa
Angola,1994,3890,0.088,Unified party control,Closed Autocracy,Africa
Angola,1995,11000,0.09,Unified party control,Closed Autocracy,Africa
Angola,1996,10500,0.09,Unified party control,Closed Autocracy,Africa
Angola,1997,7380,0.09,Unified party control,Closed Autocracy,Africa
Angola,1998,7310,0.09,Unified party control,Closed Autocracy,Africa
Angola,1999,9160,0.09,Unified party control,Closed Autocracy,Africa
Angola,2000,9540,0.09,Unified party control,Closed Autocracy,Africa
Angola,2001,9730,0.093,Unified party control,Closed Autocracy,Africa
Angola,2002,12700,0.101,Unified party control,Closed Autocracy,Africa
Angola,2003,9060,0.106,Unified party control,Closed Autocracy,Africa
Angola,2004,18800,0.107,Unified party control,Closed Autocracy,Africa
Angola,2005,19200,0.108,Unified party control,Closed Autocracy,Africa
Angola,2006,22300,0.108,Unified party control,Closed Autocracy,Africa
Angola,2007,25200,0.109,Unified party control,Closed Autocracy,Africa
Angola,2008,25700,0.128,Unified party control,Closed Autocracy,Africa
Angola,2009,27800,0.135,Unified party control,Closed Autocracy,Africa
Angola,2010,29100,0.165,Unified party control,Electoral Autocracy,Africa
Angola,2011,30300,0.164,Unified party control,Electoral Autocracy,Africa
Angola,2012,33400,0.164,Unified party control,Electoral Autocracy,Africa
Angola,2013,32600,0.163,Unified party control,Electoral Autocracy,Africa
Angola,2014,34800,0.163,Unified party control,Electoral Autocracy,Africa
Antigua and Barbuda,1940,NA,NA,NA,NA,NA
Antigua and Barbuda,1941,NA,NA,NA,NA,NA
Antigua and Barbuda,1942,NA,NA,NA,NA,NA
Antigua and Barbuda,1943,NA,NA,NA,NA,NA
Antigua and Barbuda,1944,NA,NA,NA,NA,NA
Antigua and Barbuda,1945,NA,NA,NA,NA,NA
Antigua and Barbuda,1946,NA,NA,NA,NA,NA
Antigua and Barbuda,1947,NA,NA,NA,NA,NA
Antigua and Barbuda,1948,NA,NA,NA,NA,NA
Antigua and Barbuda,1949,NA,NA,NA,NA,NA
Antigua and Barbuda,1950,NA,NA,NA,NA,NA
Antigua and Barbuda,1951,NA,NA,NA,NA,NA
Antigua and Barbuda,1952,NA,NA,NA,NA,NA
Antigua and Barbuda,1953,NA,NA,NA,NA,NA
Antigua and Barbuda,1954,NA,NA,NA,NA,NA
Antigua and Barbuda,1955,NA,NA,NA,NA,NA
Antigua and Barbuda,1956,NA,NA,NA,NA,NA
Antigua and Barbuda,1957,22,NA,NA,NA,NA
Antigua and Barbuda,1958,29.3,NA,NA,NA,NA
Antigua and Barbuda,1959,29.3,NA,NA,NA,NA
Antigua and Barbuda,1960,36.7,NA,NA,NA,NA
Antigua and Barbuda,1961,47.7,NA,NA,NA,NA
Antigua and Barbuda,1962,103,NA,NA,NA,NA
Antigua and Barbuda,1963,84.3,NA,NA,NA,NA
Antigua and Barbuda,1964,91.7,NA,NA,NA,NA
Antigua and Barbuda,1965,150,NA,NA,NA,NA
Antigua and Barbuda,1966,348,NA,NA,NA,NA
Antigua and Barbuda,1967,565,NA,NA,NA,NA
Antigua and Barbuda,1968,990,NA,NA,NA,NA
Antigua and Barbuda,1969,1260,NA,NA,NA,NA
Antigua and Barbuda,1970,462,NA,NA,NA,NA
Antigua and Barbuda,1971,425,NA,NA,NA,NA
Antigua and Barbuda,1972,374,NA,NA,NA,NA
Antigua and Barbuda,1973,330,NA,NA,NA,NA
Antigua and Barbuda,1974,429,NA,NA,NA,NA
Antigua and Barbuda,1975,708,NA,NA,NA,NA
Antigua and Barbuda,1976,403,NA,NA,NA,NA
Antigua and Barbuda,1977,466,NA,NA,NA,NA
Antigua and Barbuda,1978,491,NA,NA,NA,NA
Antigua and Barbuda,1979,407,NA,NA,NA,NA
Antigua and Barbuda,1980,143,NA,NA,NA,NA
Antigua and Barbuda,1981,106,NA,NA,NA,NA
Antigua and Barbuda,1982,293,NA,NA,NA,NA
Antigua and Barbuda,1983,84.3,NA,NA,NA,NA
Antigua and Barbuda,1984,147,NA,NA,NA,NA
Antigua and Barbuda,1985,249,NA,NA,NA,NA
Antigua and Barbuda,1986,249,NA,NA,NA,NA
Antigua and Barbuda,1987,275,NA,NA,NA,NA
